hash,block,from,to,amt,asset,current_price,market_value,link
0x69e9da72fed3eafa7a1745f70b85335d231a74fdaecaf29b133d18dd6b35b084,7439875,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"37,597,044.79",Level-Up,0.0001,"3,759.70",https://etherscan.io/tx/0x69e9da72fed3eafa7a1745f70b85335d231a74fdaecaf29b133d18dd6b35b084
0x90f888a3069cb8b0567f0edc659b41948bb9499b8b315142d027a6f95cc3a1bb,7439875,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"3,732.99",Moeda,1.1627,"4,340.35",https://etherscan.io/tx/0x90f888a3069cb8b0567f0edc659b41948bb9499b8b315142d027a6f95cc3a1bb
0xac16d0b22f013ff8237496c149015c6e3c17d0ebf88b68d171803ad3b2e3333c,7439880,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"288,537.97",Bezop,0.0234,"6,751.79",https://etherscan.io/tx/0xac16d0b22f013ff8237496c149015c6e3c17d0ebf88b68d171803ad3b2e3333c
0xa621e63496da025d8eb5398d4a716c071e910e061905e387b4650bcf8cd748b4,7439887,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"645,181.32",MedToken,0.0067,"4,322.71",https://etherscan.io/tx/0xa621e63496da025d8eb5398d4a716c071e910e061905e387b4650bcf8cd748b4
0x124fdf2aa8fa3756c96937d53b842fb63dfee37adc59af8e4477bdf2df9a82e8,7439891,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"8,837.31",ChainLink,0.4788,"4,231.30",https://etherscan.io/tx/0x124fdf2aa8fa3756c96937d53b842fb63dfee37adc59af8e4477bdf2df9a82e8
0x4674c32adb1a23800fb4605d6f29102a0c864c35e8f964319a1f18e4ee62f842,7439891,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"7,002.68",Bancor,0.6306,"4,415.89",https://etherscan.io/tx/0x4674c32adb1a23800fb4605d6f29102a0c864c35e8f964319a1f18e4ee62f842
0xf5be958de808b85cffb408d566d0ad8a701704184d0abf4e4e0925e6bd95dbed,7439892,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"116,076.82",QuarkChain,0.0368,"4,271.63",https://etherscan.io/tx/0xf5be958de808b85cffb408d566d0ad8a701704184d0abf4e4e0925e6bd95dbed
0x5da225933423aca444bda2f9ef35e31707581b36d1a06dd870e7c4056f339b0c,7439895,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"24,848.56",Cortex Coin,0.1627,"4,042.86",https://etherscan.io/tx/0x5da225933423aca444bda2f9ef35e31707581b36d1a06dd870e7c4056f339b0c
0xa1ce74e34ee40a5c74b92b4a139a0d4beca2016acbc23039cdcf6901e2f510eb,7439897,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"46,173.64",Civic,0.0804,"3,712.36",https://etherscan.io/tx/0xa1ce74e34ee40a5c74b92b4a139a0d4beca2016acbc23039cdcf6901e2f510eb
0xccd625b83eb0d7cdc7f57b2f10fc163965cb67fc0c8a26b3217d82f8c70f66a5,7439897,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"13,641.60",ZRX,0.294,"4,010.63",https://etherscan.io/tx/0xccd625b83eb0d7cdc7f57b2f10fc163965cb67fc0c8a26b3217d82f8c70f66a5
0xa6c306ce2e5c73d00b0bf4060661bfecca76c131a6be901d4780883fb167fe76,7439899,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"3,599,338.55",Content and Ad Network,0.0011,"3,959.27",https://etherscan.io/tx/0xa6c306ce2e5c73d00b0bf4060661bfecca76c131a6be901d4780883fb167fe76
0x87f2b08551ff5ebc254ca37d6c7ab92b97336a542ab1e9652352d5ad36289f4a,7439900,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"17,588,912.32",Storiqa,0.0002,"3,517.78",https://etherscan.io/tx/0x87f2b08551ff5ebc254ca37d6c7ab92b97336a542ab1e9652352d5ad36289f4a
0x9d869a775799b7d37bf6bea3be9a7a8c29a119b8ddb218ddfe21e68139055aea,7439908,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"740,603.42",Sentinel Chain,0.0038,"2,814.29",https://etherscan.io/tx/0x9d869a775799b7d37bf6bea3be9a7a8c29a119b8ddb218ddfe21e68139055aea
0x12d5a112bea70114bb2db1ed19b649aeb99ae7887dd7835f62040a8db1807417,7439914,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"39,086.52",Loom,0.0706,"2,759.51",https://etherscan.io/tx/0x12d5a112bea70114bb2db1ed19b649aeb99ae7887dd7835f62040a8db1807417
0x680caa75aa92e0bc93922a2f70bddf8825b0a43f4722909339adf3e1a9efb0b4,7439914,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"1,362,912.45",AIT,0.002,"2,725.82",https://etherscan.io/tx/0x680caa75aa92e0bc93922a2f70bddf8825b0a43f4722909339adf3e1a9efb0b4
0xf82498784ee7da1def783ad40be7a755d44be6fb1978f3d87d1fbc953c11575a,7439919,0x6585329751de1140d68bd6cad1b46ebec1131f75,0x49800268af45f54ead1176d41272bc409f40d6c9,"605,515.00",Maximine,0.1056,"63,942.38",https://etherscan.io/tx/0xf82498784ee7da1def783ad40be7a755d44be6fb1978f3d87d1fbc953c11575a
0xb520366e3cffdc0eef3a6304fc92153bf673c7cad02da617a572ef6defff5bf8,7439919,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"122,884.21",BankEx,0.0184,"2,261.07",https://etherscan.io/tx/0xb520366e3cffdc0eef3a6304fc92153bf673c7cad02da617a572ef6defff5bf8
0x57b114eb03dd8322ae36216667e0418add3407bbc709a0804225fb741891ff08,7439921,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,136.76,DGD,19.5664,"2,675.90",https://etherscan.io/tx/0x57b114eb03dd8322ae36216667e0418add3407bbc709a0804225fb741891ff08
